year,month,state,handgun_unadjusted,long_gun_unadjusted,total_unadjusted,handgun_adjusted,long_gun_adjusted,total_adjusted
2006,08,Connecticut,2041,1917,3958,2436,2398,4834
2006,08,Delaware,495,759,1254,555,891,1446
2006,08,District of Columbia,6,1,7,6,1,7
2006,08,Florida,20074,15038,35112,21253,17183,38436
2006,08,Georgia,7062,9643,16705,8073,12418,20491
2006,08,Guam,12,20,32,14,18,31
2006,08,Hawaii,0,0,0,,,
2006,08,Idaho,1719,4006,5726,1841,4252,6093
2006,08,Illinois,5402,8938,14340,6221,9256,15477
2006,08,Indiana,6301,8779,15080,7056,9884,16940
2006,08,Iowa,16,2861,2878,20,3774,3795
2006,08,Kansas,3227,4939,8166,3627,5340,8967
2006,08,Kentucky,6389,9342,15731,7429,10825,18254
2006,08,Louisiana,6677,9998,16675,7240,10689,17930
2006,08,Maine,1333,2957,4290,1396,3193,4589
2006,08,Mariana Islands,0,0,0,,,
2006,08,Maryland,648,4011,4658,681,4538,5220
2006,08,Massachusetts,1979,1420,3399,2099,1591,3690
2006,08,Michigan,2233,12723,14956,2516,14294,16809
2006,08,Minnesota,3510,12360,15870,3809,11759,15568
2006,08,Mississippi,4352,8307,12659,4717,9432,14149
2006,08,Missouri,4674,12843,17516,5077,13840,18918
2006,08,Montana,1869,4366,6235,1809,4446,6255
2006,08,Nebraska,1,2055,2056,2,2304,2306
2006,08,Nevada,3176,2830,6006,3135,2926,6061
2006,08,New Hampshire,1392,2229,3620,1534,2455,3989
2006,08,New Jersey,1409,1656,3065,1545,1880,3425
2006,08,New Mexico,3114,3942,7057,3165,4168,7333
2006,08,New York,3242,9770,13012,3604,11763,15367
2006,08,North Carolina,338,11846,12184,382,13153,13535
2006,08,North Dakota,578,2774,3352,667,2773,3440
2006,08,Ohio,9360,13675,23035,11601,16282,27882
2006,08,Oklahoma,5537,8503,14040,6131,8992,15123
2006,08,Oregon,5189,8381,13570,5766,9766,15532
2006,08,Pennsylvania,63,41747,41810,81,47323,47404
2006,08,Puerto Rico,546,200,746,519,161,680
2006,08,Rhode Island,432,429,861,499,509,1008
2006,08,South Carolina,3819,5761,9580,4533,5955,10488
2006,08,South Dakota,823,3200,4023,931,3400,4331
2006,08,Tennessee,8878,11472,20350,9760,11991,21750
2006,08,Texas,18990,37349,56340,21263,34814,56078
2006,08,United States,216786,402744,619530,241879,438973,680852
2006,08,Utah,1991,4502,6493,2355,5584,7939
2006,08,Vermont,566,1014,1581,618,1240,1858
2006,08,Virgin Islands,33,1,34,,,
2006,08,Virginia,7942,10058,18000,9264,11775,21039
2006,08,Washington,6613,8521,15134,7276,9021,16297
2006,08,West Virginia,2775,4627,7402,3148,5640,8788
2006,08,Wisconsin,3394,10844,14237,3897,12194,16091
2006,08,Wyoming,970,2210,3180,1064,2273,3337
2006,09,Alabama,7237,11747,18984,8519,11664,20182
2006,09,Alaska,1394,2694,4088,1662,2450,4112
2006,09,Arizona,7321,7862,15182,7873,7611,15484
2006,09,Arkansas,3398,9338,12736,3932,8533,12465
2006,09,California,18464,21458,39921,20721,22283,43004
2006,09,Colorado,7431,12387,19818,8115,11682,19797
2006,09,Connecticut,2101,2260,4362,2546,2390,4936
2006,09,Delaware,487,1019,1506,544,1020,1564
2006,09,District of Columbia,1,0,1,3,0,4
2006,09,Florida,18997,15809,34806,21337,17027,38365
2006,09,Georgia,6740,10992,17732,8149,12243,20392
2006,09,Guam,13,15,29,14,19,33
2006,09,Hawaii,0,0,0,,,
2006,09,Idaho,1998,5851,7849,2007,4589,6596
2006,09,Illinois,5397,9259,14655,6216,9519,15735
2006,09,Indiana,6211,10058,16269,7616,10832,18448
2006,09,Iowa,15,4884,4899,19,4708,4727
2006,09,Kansas,3331,6570,9901,3843,6463,10306
2006,09,Kentucky,6775,11473,18248,7930,12126,20056
2006,09,Louisiana,6821,12198,19019,7065,10182,17247
2006,09,Maine,1571,4696,6267,1445,3251,4696
2006,09,Mariana Islands,0,1,1,,,
2006,09,Maryland,468,4818,5286,528,4714,5242
2006,09,Massachusetts,1890,1668,3557,2131,1647,3778
2006,09,Michigan,2309,19346,21655,2698,15533,18231
2006,09,Minnesota,4149,20346,24495,4365,12363,16728
2006,09,Mississippi,3777,9557,13334,4622,10700,15322
2006,09,Missouri,4572,13955,18526,5076,14325,19401
2006,09,Montana,1869,5991,7860,1848,4917,6765
2006,09,Nebraska,0,3027,3027,3,2689,2692
2006,09,Nevada,2396,2704,5100,2789,2836,5626
2006,09,New Hampshire,1632,3159,4792,1579,2605,4184
2006,09,New Jersey,1331,1855,3186,1500,1942,3441
2006,09,New Mexico,2731,4113,6844,3026,4121,7148
2006,09,New York,3618,16136,19754,3903,12580,16483
2006,09,North Carolina,332,13089,13421,382,13494,13876
2006,09,North Dakota,558,3868,4425,599,2709,3309
2006,09,Ohio,10078,17235,27313,12075,18558,30632
2006,09,Oklahoma,5232,9334,14565,6311,9970,16281
2006,09,Oregon,5590,12232,17822,5776,9832,15608
2006,09,Pennsylvania,84,50920,51004,100,50874,50975
2006,09,Puerto Rico,678,201,879,646,155,800
2006,09,Rhode Island,461,548,1009,511,532,1043
2006,09,South Carolina,3901,6503,10404,4665,6247,10912
2006,09,South Dakota,876,5138,6014,931,3871,4802
2006,09,Tennessee,8506,11547,20053,9962,12350,22312
2006,09,Texas,19250,42855,62105,22425,34866,57290
2006,09,United States,217554,500030,717584,247056,474927,721983
2006,09,Utah,2247,6421,8668,2539,5749,8288
2006,09,Vermont,673,1720,2394,677,1309,1986
2006,09,Virgin Islands,19,1,20,,,
2006,09,Virginia,7895,12392,20286,9253,12311,21564
2006,09,Washington,6295,10272,16567,7252,9201,16453
2006,09,West Virginia,3116,7935,11052,3558,7716,11274
2006,09,Wisconsin,4181,17834,22015,4298,13875,18173
2006,09,Wyoming,1141,2742,3883,1189,2279,3468
2006,10,Alabama,7175,12169,19345,8155,11311,19465
2006,10,Alaska,1726,2786,4512,1499,2185,3684
2006,10,Arizona,6581,7428,14010,7507,7238,14745
2006,10,Arkansas,3290,10739,14029,3769,7952,11721
2006,10,California,17179,17908,35087,18755,20578,39333
2006,10,Colorado,7557,12939,20496,8055,11199,19254
2006,10,Connecticut,2654,2840,5494,2532,2169,4701
2006,10,Delaware,558,1212,1770,588,985,1573
2006,10,District of Columbia,2,0,2,2,0,2
2006,10,Florida,20580,18349,38929,21115,17116,38232
2006,10,Georgia,6895,13988,20882,7521,11463,18984
2006,10,Guam,11,20,31,13,16,29
2006,10,Hawaii,0,0,0,,,
2006,10,Idaho,1763,5666,7429,1974,4501,6476
2006,10,Illinois,6161,11011,17172,6205,9365,15570
2006,10,Indiana,6362,11306,17668,6741,9325,16065
2006,10,Iowa,30,6267,6296,36,4258,4294
2006,10,Kansas,3798,7517,11316,3755,5900,9654
2006,10,Kentucky,6881,13867,20747,7644,11425,19069
2006,10,Louisiana,6727,14687,21414,7190,10115,17305
2006,10,Maine,1574,6595,8169,1446,3206,4652
2006,10,Mariana Islands,0,4,4,,,
2006,10,Maryland,1244,5727,6971,1401,4525,5926
2006,10,Massachusetts,1923,1920,3842,2035,1558,3593
2006,10,Michigan,2321,19632,21953,2438,14292,16730
2006,10,Minnesota,3829,21616,25445,3895,11878,15774
2006,10,Mississippi,3786,10908,14694,4230,8996,13226
2006,10,Missouri,4623,18074,22697,4841,13329,18170
2006,10,Montana,1781,7016,8797,1874,4500,6375
2006,10,Nebraska,2,3958,3960,3,2650,2653
2006,10,Nevada,2668,2764,5432,2725,2726,5450
2006,10,New Hampshire,1686,3582,5268,1690,2489,4178
2006,10,New Jersey,1519,2198,3717,1609,1834,3443
2006,10,New Mexico,2881,4262,7143,2962,3968,6929
2006,10,New York,3636,17207,20843,3730,11823,15554
2006,10,North Carolina,345,15498,15843,363,13379,13742
2006,10,North Dakota,535,4839,5374,589,2506,3095
2006,10,Ohio,10940,17958,28897,11930,16314,28244
2006,10,Oklahoma,5722,10571,16293,6177,9034,15211
2006,10,Oregon,5017,9342,14359,5753,9403,15156
2006,10,Pennsylvania,94,54242,54336,95,48371,48466
2006,10,Puerto Rico,728,161,889,674,153,828
2006,10,Rhode Island,479,568,1046,484,488,972
2006,10,South Carolina,4013,7044,11057,4642,6180,10822
2006,10,South Dakota,751,6717,7468,851,3592,4443
2006,10,Tennessee,9105,13270,22375,9930,11958,21888
2006,10,Texas,19345,38837,58181,20903,33636,54539
2006,10,United States,222965,539908,762872,240963,442214,683177
2006,10,Utah,2090,6019,8109,2548,5452,8001
2006,10,Vermont,636,1949,2585,650,1232,1882
2006,10,Virgin Islands,35,2,37,,,
2006,10,Virginia,8451,13952,22404,8968,11764,20731
2006,10,Washington,6926,10852,17777,7113,9034,16146
2006,10,West Virginia,3042,9380,12421,3313,6739,10052
2006,10,Wisconsin,4348,19910,24258,4197,12997,17193
2006,10,Wyoming,961,2636,3597,1167,2386,3553
2006,11,Alabama,8056,19665,27721,8527,11671,20198
2006,11,Alaska,1528,2299,3827,1746,2373,4119
2006,11,Arizona,6346,7882,14227,7322,7357,14679
2006,11,Arkansas,3485,14821,18306,3904,8330,12233
2006,11,California,18724,22437,41161,20615,22813,43429
2006,11,Colorado,8213,13355,21568,8783,11478,20261
2006,11,Connecticut,2435,3167,5602,2572,2407,4979
2006,11,Delaware,600,1612,2211,642,998,1640
2006,11,District of Columbia,3,0,3,4,0,4
2006,11,Florida,20586,23568,44154,21210,17931,39141
2006,11,Georgia,6760,17378,24137,7733,11767,19500
2006,11,Guam,14,33,47,13,33,46
2006,11,Hawaii,0,0,0,,,
2006,11,Idaho,1661,4707,6368,1895,4470,6366
2006,11,Illinois,5819,13324,19143,5926,9294,15220
2006,11,Indiana,6928,16399,23327,7156,10189,17345
2006,11,Iowa,28,7861,7888,26,4200,4225
2006,11,Kansas,3537,9270,12806,3734,5683,9417
2006,11,Kentucky,7137,17163,24300,7604,11507,19112
2006,11,Louisiana,6068,16909,22977,6929,10055,16984
2006,11,Maine,1308,4300,5608,1498,3386,4884
2006,11,Mariana Islands,0,2,2,,,
2006,11,Maryland,1590,7590,9180,1653,4570,6223
2006,11,Massachusetts,1949,2289,4238,2114,1745,3859
2006,11,Michigan,2171,23263,25434,2429,14371,16800
2006,11,Minnesota,3183,14088,17271,3948,12391,16339
2006,11,Mississippi,4177,19281,23458,4615,9222,13837
2006,11,Missouri,4472,18598,23069,5112,13202,18314
2006,11,Montana,1331,4354,5685,1722,4578,6300
2006,11,Nebraska,2,5010,5013,2,2983,2986
2006,11,Nevada,2463,3132,5595,2682,2725,5407
2006,11,New Hampshire,1742,3109,4851,1793,2520,4312
2006,11,New Jersey,1406,2842,4248,1552,1921,3472
2006,11,New Mexico,2805,4489,7294,3166,4061,7226
2006,11,New York,3311,18407,21718,3769,12314,16083
2006,11,North Carolina,367,20947,21315,374,13701,14075
2006,11,North Dakota,534,3551,4084,617,2862,3480
2006,11,Ohio,11431,27600,39031,11870,17050,28921
2006,11,Oklahoma,5227,12520,17747,5879,8802,14681
2006,11,Oregon,5564,10312,15876,5928,9709,15637
2006,11,Pennsylvania,568,62277,62844,429,49626,50056
2006,11,Puerto Rico,708,146,855,705,169,874
2006,11,Rhode Island,498,636,1134,519,509,1028
2006,11,South Carolina,4444,9996,14440,4570,6553,11122
2006,11,South Dakota,761,5298,6059,919,3898,4816
2006,11,Tennessee,9858,18443,28301,10282,12404,22686
2006,11,Texas,19677,44560,64237,20914,34165,55079
2006,11,United States,226272,631353,857625,244979,455413,700392
2006,11,Utah,2527,7478,10004,2549,5768,8316
2006,11,Vermont,516,1876,2391,635,1340,1975
2006,11,Virgin Islands,30,4,34,,,
2006,11,Virginia,9027,19623,28650,9591,12767,22358
2006,11,Washington,6658,9645,16303,7183,9201,16383
2006,11,West Virginia,3088,12080,15168,3401,6857,10258
2006,11,Wisconsin,3937,19214,23151,4125,13082,17207
2006,11,Wyoming,1016,2546,3563,1133,2355,3488
2006,12,Alabama,11517,29094,40611,8299,11893,20192
2006,12,Alaska,2279,3256,5535,1915,2451,4366
2006,12,Arizona,9568,12516,22084,7475,7424,14899
2006,12,Arkansas,5068,17261,22329,3784,8273,12056
2006,12,California,26529,31620,58148,24037,25649,49686
2006,12,Colorado,9090,16500,25590,7912,11288,19200
2006,12,Connecticut,3026,3432,6458,2641,2476,5117
2006,12,Delaware,776,1903,2679,658,982,1640
2006,12,District of Columbia,8,1,9,8,1,9
2006,12,Florida,24298,31596,55894,20757,17095,37851
2006,12,Georgia,10937,28774,39711,7847,11587,19434
2006,12,Guam,18,32,50,15,25,40
2006,12,Hawaii,0,0,0,,,
2006,12,Idaho,2387,7455,9842,1807,4478,6286
2006,12,Illinois,6960,13882,20842,5944,9066,15010
2006,12,Indiana,8121,18030,26151,6946,10415,17360
2006,12,Iowa,40,8462,8502,29,4372,4401
2006,12,Kansas,4966,11710,16676,4231,6278,10509
2006,12,Kentucky,10868,22960,33828,7693,11595,19289
2006,12,Louisiana,8967,23871,32838,6963,10093,17056
2006,12,Maine,1649,4342,5991,1582,3509,5090
2006,12,Mariana Islands,0,12,12,,,
2006,12,Maryland,1459,7891,9350,1532,4695,6227
2006,12,Massachusetts,2251,2152,4402,2091,1769,3860
2006,12,Michigan,2773,23438,26211,2464,15656,18120
2006,12,Minnesota,4849,15093,19942,4520,13029,17549
2006,12,Mississippi,6057,22831,28887,4604,8848,13452
2006,12,Missouri,6015,24599,30614,5028,14592,19620
2006,12,Montana,2307,6338,8645,1913,4653,6566
2006,12,Nebraska,1,5666,5667,0,2788,2788
2006,12,Nevada,3400,4641,8041,2720,2784,5504
2006,12,New Hampshire,1993,3323,5316,1856,2658,4514
2006,12,New Jersey,1557,2963,4520,1636,2064,3699
2006,12,New Mexico,3692,6929,10620,3040,4173,7213
2006,12,New York,3644,19434,23078,3694,13878,17572
2006,12,North Carolina,447,29861,30307,389,13531,13920
2006,12,North Dakota,700,3280,3980,601,2745,3346
2006,12,Ohio,15610,28225,43835,12781,17231,30012
2006,12,Oklahoma,8215,17680,25895,6414,9206,15620
2006,12,Oregon,6811,15376,22187,5657,9663,15320
2006,12,Pennsylvania,198,65333,65531,161,54294,54455
2006,12,Puerto Rico,634,127,760,567,127,694
2006,12,Rhode Island,550,724,1274,531,579,1111
2006,12,South Carolina,5889,14172,20062,4474,6171,10645
2006,12,South Dakota,1143,5260,6403,934,3713,4647
2006,12,Tennessee,13856,25575,39431,10336,12293,22629
2006,12,Texas,28934,69595,98529,21043,34249,55292
2006,12,United States,305352,792363,1097715,247106,461826,708931
2006,12,Utah,3864,12835,16699,2586,6083,8669
2006,12,Vermont,746,1711,2456,770,1454,2225
2006,12,Virgin Islands,40,4,44,,,
2006,12,Virginia,11483,23227,34709,9467,12628,22095
2006,12,Washington,7722,13815,21537,6776,9206,15982
2006,12,West Virginia,4827,13243,18070,3569,7568,11137
2006,12,Wisconsin,5116,16482,21598,4398,14197,18595
2006,12,Wyoming,1502,3832,5334,1072,2280,3352
2007,01,Alabama,10110,10888,20998,8745,11411,20156
2007,01,Alaska,1451,1548,2999,1795,2326,4121
2007,01,Arizona,7143,6372,13516,6996,6830,13826
2007,01,Arkansas,4389,6938,11327,3902,7816,11718
2007,01,California,33373,32804,66177,33483,32695,66178
2007,01,Colorado,7713,9632,17345,7935,10928,18863
2007,01,Connecticut,2691,2526,5216,2424,2457,4882
2007,01,Delaware,691,860,1551,647,988,1635
2007,01,District of Columbia,6,75,80,5,74,79
2007,01,Florida,22197,16042,38239,21195,16224,37419
2007,01,Georgia,8556,9982,18538,7532,10658,18190
2007,01,Guam,14,25,40,14,27,41
2007,01,Hawaii,0,0,0,,,
2007,01,Idaho,1691,3274,4964,1816,4279,6096
2007,01,Illinois,6013,8165,14178,5662,8669,14331
2007,01,Indiana,7924,9403,17327,6774,10003,16777
2007,01,Iowa,18,3400,3418,14,4145,4159
2007,01,Kansas,3991,5352,9342,3460,5683,9143
2007,01,Kentucky,8335,10552,18887,7472,11506,18979
2007,01,Louisiana,7792,8591,16383,7320,9976,17296
2007,01,Maine,1402,2375,3777,1484,3444,4928
2007,01,Mariana Islands,0,0,0,,,
2007,01,Maryland,2060,3802,5862,1982,4413,6395
2007,01,Massachusetts,2191,1709,3901,2039,1703,3741
2007,01,Michigan,2616,11432,14048,2451,14387,16837
2007,01,Minnesota,4400,7992,12392,4328,12043,16370
2007,01,Mississippi,5126,8012,13138,4585,8785,13370
2007,01,Missouri,5296,11018,16314,5006,12108,17114
2007,01,Montana,1528,3040,4568,1810,4394,6203
2007,01,Nebraska,4,2190,2195,4,2671,2675
2007,01,Nevada,2773,2401,5174,2794,2647,5440
2007,01,New Hampshire,1871,2135,4006,1764,2516,4280
2007,01,New Jersey,1503,1741,3244,1536,1814,3350
2007,01,New Mexico,3044,3873,6917,3117,4214,7331
2007,01,New York,4183,10738,14922,3645,12931,16576
2007,01,North Carolina,435,12441,12876,380,13238,13617
2007,01,North Dakota,673,2184,2857,642,2879,3521
2007,01,Ohio,12953,15771,28723,12001,17721,29722
2007,01,Oklahoma,5654,7502,13156,5266,7978,13244
2007,01,Oregon,5608,7916,13523,5613,9456,15070
2007,01,Pennsylvania,124,49871,49995,124,51986,52110
2007,01,Puerto Rico,639,155,794,641,176,817
2007,01,Rhode Island,562,503,1065,524,498,1022
2007,01,South Carolina,5115,5312,10427,4589,5835,10425
2007,01,South Dakota,975,2774,3749,895,3582,4478
2007,01,Tennessee,11804,11223,23027,10636,12024,22660
2007,01,Texas,22975,29240,52215,21018,32766,53784
2007,01,United States,268898,405048,673946,252545,455667,708212
2007,01,Utah,2424,4689,7114,2485,5515,7999
2007,01,Vermont,612,834,1445,667,1267,1934
2007,01,Virgin Islands,26,6,32,,,
2007,01,Virginia,10206,11332,21538,9755,12409,22165
2007,01,Washington,7297,7597,14894,7031,8858,15889
2007,01,West Virginia,3639,5243,8881,3446,6379,9825
2007,01,Wisconsin,4110,9789,13899,4344,13596,17941
2007,01,Wyoming,974,1780,2753,1065,2251,3315
2007,02,Alabama,10645,10172,20816,8367,11082,19449
2007,02,Alaska,1642,1991,3633,1725,2506,4231
2007,02,Arizona,8775,6926,15700,7042,6684,13727
2007,02,Arkansas,5360,7048,12408,3722,7436,11157
2007,02,California,38432,37258,75690,36963,36096,73059
2007,02,Colorado,9151,10965,20116,8544,11577,20122
2007,02,Connecticut,2757,2259,5016,2436,2323,4759
2007,02,Delaware,693,765,1458,603,914,1517
2007,02,District of Columbia,1,0,1,2,0,2
2007,02,Florida,23773,15975,39748,21377,16296,37673
2007,02,Georgia,10108,10451,20559,7340,10560,17900
2007,02,Guam,12,21,33,11,20,31
2007,02,Hawaii,0,0,0,,,
2007,02,Idaho,2281,3957,6238,1929,4210,6139
2007,02,Illinois,6668,8513,15181,5627,8517,14144
2007,02,Indiana,7622,8721,16343,5982,9032,15015
2007,02,Iowa,31,3546,3577,26,4071,4098
2007,02,Kansas,4827,5462,10288,3885,5987,9872
2007,02,Kentucky,9638,10881,20519,7191,10333,17524
2007,02,Louisiana,7996,7253,15249,6598,9737,16335
2007,02,Maine,1334,2171,3506,1269,2973,4242
2007,02,Mariana Islands,0,10,10,,,
2007,02,Maryland,2237,4181,6418,1975,4353,6328
2007,02,Massachusetts,2201,1498,3699,2023,1616,3639
2007,02,Michigan,2680,11900,14579,2380,13511,15892
2007,02,Minnesota,4545,8361,12906,4094,10756,14850
2007,02,Mississippi,6338,7148,13486,4440,8557,12997
2007,02,Missouri,5919,12938,18857,4811,12860,17671
2007,02,Montana,1780,3554,5334,1674,4311,5986
2007,02,Nebraska,1,2130,2131,0,2669,2669
2007,02,Nevada,2965,2426,5390,2742,2463,5205
2007,02,New Hampshire,1702,1958,3660,1625,2334,3959
2007,02,New Jersey,1637,1616,3253,1582,1829,3412
2007,02,New Mexico,3660,4284,7944,3079,4001,7081
2007,02,New York,3735,10058,13793,3482,11835,15317
2007,02,North Carolina,546,12563,13109,365,12836,13202
2007,02,North Dakota,784,1901,2685,671,2557,3228
2007,02,Ohio,13806,14792,28598,10598,15696,26294
2007,02,Oklahoma,8043,8890,16933,6112,8715,14827
2007,02,Oregon,6141,9120,15261,5549,9410,14959
2007,02,Pennsylvania,105,47462,47566,94,48309,48403
2007,02,Puerto Rico,510,141,651,544,162,706
2007,02,Rhode Island,565,525,1090,517,528,1045
2007,02,South Carolina,6150,5331,11481,4325,5600,9925
2007,02,South Dakota,1096,2760,3856,869,3252,4121
2007,02,Tennessee,13512,11785,25298,10372,11427,21798
2007,02,Texas,25622,28071,53693,20848,32336,53184
2007,02,United States,300726,414335,715060,252179,442089,694268
2007,02,Utah,3042,5003,8044,2609,5278,7887
2007,02,Vermont,791,1194,1984,613,1211,1824
2007,02,Virgin Islands,34,4,38,,,
2007,02,Virginia,10397,10572,20969,8345,11319,19663
2007,02,Washington,8334,8568,16902,7142,8736,15877
2007,02,West Virginia,4062,5587,9649,3206,6063,9270
2007,02,Wisconsin,4828,11659,16487,4002,12528,16530
2007,02,Wyoming,1212,2012,3224,1079,2178,3258
2007,03,Alabama,9607,9045,18653,8344,10714,19057
2007,03,Alaska,1882,2382,4264,1723,2489,4212
2007,03,Arizona,7927,6271,14198,6963,6451,13413
2007,03,Arkansas,4403,5869,10272,3623,7137,10760
2007,03,California,47629,45018,92646,39166,36673,75839
2007,03,Colorado,11540,13264,24804,9600,12424,22024
2007,03,Connecticut,3402,2808,6211,2609,2343,4951
2007,03,Delaware,760,829,1590,632,906,1538
2007,03,District of Columbia,3,1,4,1,1,2
2007,03,Florida,24738,16141,40879,21946,16589,38535
2007,03,Georgia,8960,9308,18268,7524,10295,17819
2007,03,Guam,13,30,43,12,33,45
2007,03,Hawaii,0,0,0,,,
2007,03,Idaho,2269,4411,6680,1879,4227,6106
2007,03,Illinois,7567,9748,17315,5812,8474,14286
2007,03,Indiana,9089,10551,19640,6785,9843,16628
2007,03,Iowa,37,4392,4430,25,4014,4039
2007,03,Kansas,5556,5963,11519,4173,6148,10321
2007,03,Kentucky,8813,10316,19129,7366,10750,18116
2007,03,Louisiana,8096,6783,14879,7060,9915,16975
2007,03,Maine,1808,2768,4576,1396,3047,4444
2007,03,Mariana Islands,0,2,2,,,
2007,03,Maryland,2379,4188,6567,1939,4476,6415
2007,03,Massachusetts,2787,1865,4652,2082,1589,3671
2007,03,Michigan,2966,14204,17170,2255,13640,15895
2007,03,Minnesota,5788,12235,18024,4165,11650,15814
2007,03,Mississippi,5388,5713,11101,4684,8143,12827
2007,03,Missouri,6692,13639,20331,5204,13295,18500
2007,03,Montana,2118,4582,6699,1785,4550,6335
2007,03,Nebraska,0,2446,2446,0,2859,2859
2007,03,Nevada,3461,2707,6168,2755,2466,5222
2007,03,New Hampshire,1975,2387,4362,1682,2364,4047
2007,03,New Jersey,1871,1887,3758,1530,1807,3337
2007,03,New Mexico,3637,4045,7681,3030,3802,6832
2007,03,New York,4522,11499,16022,3604,12181,15785
2007,03,North Carolina,378,11067,11446,337,12679,13016
2007,03,North Dakota,778,2373,3150,587,2672,3259
2007,03,Ohio,15480,18197,33678,11645,17088,28733
2007,03,Oklahoma,7835,8713,16548,6725,9461,16187
2007,03,Oregon,6896,10298,17194,5517,9126,14643
2007,03,Pennsylvania,116,60311,60426,101,50000,50101
2007,03,Puerto Rico,722,151,872,676,157,833
2007,03,Rhode Island,630,619,1250,481,529,1010
2007,03,South Carolina,5027,5137,10164,4207,5729,9937
2007,03,South Dakota,1247,3249,4497,941,3704,4645
2007,03,Tennessee,11362,10821,22183,9945,11373,21318
2007,03,Texas,24772,26846,51618,21833,32991,54824
2007,03,United States,318525,456938,775463,262922,454133,717055
2007,03,Utah,3396,4948,8344,2876,5253,8128
2007,03,Vermont,794,1358,2153,603,1224,1828
2007,03,Virgin Islands,30,1,31,,,
2007,03,Virginia,12187,11345,23532,9930,12042,21972
2007,03,Washington,8546,9388,17934,7086,8909,15996
2007,03,West Virginia,4323,5966,10289,3363,6313,9677
2007,03,Wisconsin,5100,16665,21765,3927,12995,16923
2007,03,Wyoming,1222,2187,3409,1040,2165,3205
2007,04,Alabama,8163,6217,14380,8779,10655,19434
2007,04,Alaska,1881,2644,4525,1674,2458,4133
2007,04,Arizona,7684,5560,13244,7093,6309,13402
2007,04,Arkansas,3697,4440,8137,3947,7085,11032
2007,04,California,43304,40836,84140,39098,38456,77553
2007,04,Colorado,9877,10794,20671,9329,11849,21178
2007,04,Connecticut,2746,2405,5150,2586,2549,5135
2007,04,Delaware,644,714,1357,580,900,1480
2007,04,District of Columbia,2,0,2,2,0,2
2007,04,Florida,22466,12727,35193,22443,15521,37964
2007,04,Georgia,7384,6161,13545,7967,9896,17863
2007,04,Guam,21,23,44,19,22,42
2007,04,Hawaii,0,0,0,,,
2007,04,Idaho,2028,3595,5623,1972,3988,5960
2007,04,Illinois,6380,7086,13466,6346,8601,14947
2007,04,Indiana,6927,7552,14478,7121,9764,16885
2007,04,Iowa,28,2857,2884,27,3786,3813
2007,04,Kansas,3926,4340,8265,3981,5742,9723
2007,04,Kentucky,6867,8006,14873,7585,10238,17822
2007,04,Louisiana,6743,4961,11704,7347,9921,17268
2007,04,Maine,1635,2462,4096,1513,3036,4549
2007,04,Mariana Islands,0,0,0,,,
2007,04,Maryland,2272,3351,5622,2045,4188,6233
2007,04,Massachusetts,2302,1521,3824,2119,1549,3668
2007,04,Michigan,2502,10934,13436,2233,13314,15547
2007,04,Minnesota,5004,10288,15292,4235,10961,15196
2007,04,Mississippi,4387,3958,8345,4768,8250,13019
2007,04,Missouri,5941,10561,16502,5813,12444,18257
2007,04,Montana,2014,4465,6479,1837,4591,6428
2007,04,Nebraska,2,1734,1736,2,2544,2545
2007,04,Nevada,2734,2290,5024,2764,2501,5265
2007,04,New Hampshire,1907,2376,4283,1741,2329,4070
2007,04,New Jersey,1598,1432,3030,1464,1644,3107
2007,04,New Mexico,3158,3486,6644,3188,3885,7074
2007,04,New York,4096,11342,15438,3704,11940,15643
2007,04,North Carolina,309,8067,8376,342,11641,11983
2007,04,North Dakota,732,2331,3062,632,2827,3460
2007,04,Ohio,12984,14670,27654,11820,17013,28834
2007,04,Oklahoma,6934,6775,13709,6534,8153,14687
2007,04,Oregon,6213,8988,15201,5653,9032,14685
2007,04,Pennsylvania,107,49601,49708,104,50785,50889
2007,04,Puerto Rico,490,102,592,573,115,688
2007,04,Rhode Island,560,515,1075,524,537,1061
2007,04,South Carolina,4490,3350,7840,4743,5459,10203
2007,04,South Dakota,1100,2647,3747,992,3446,4438
2007,04,Tennessee,9824,7556,17380,10761,11025,21786
2007,04,Texas,21358,21671,43029,22786,31879,54664
2007,04,United States,275854,368453,644306,269337,445908,715245
2007,04,Utah,2993,4128,7121,2747,5118,7864
2007,04,Vermont,707,1243,1950,637,1207,1844
2007,04,Virgin Islands,23,4,28,,,
2007,04,Virginia,10021,8753,18774,9250,11001,20250
2007,04,Washington,7476,8072,15547,7105,8696,15801
2007,04,West Virginia,3490,4893,8383,3572,6270,9842
2007,04,Wisconsin,4613,11968,16581,4138,11752,15890
2007,04,Wyoming,1110,2002,3112,1054,2142,3196
2007,05,Alabama,7824,5669,13494,9127,10397,19525
2007,05,Alaska,1887,2263,4149,1850,2464,4314
2007,05,Arizona,6663,5136,11799,6973,6463,13437
2007,05,Arkansas,3270,3831,7102,3929,7233,11162
2007,05,California,61276,58704,119979,59938,62662,122599
2007,05,Colorado,10930,11152,22081,11327,13495,24821
2007,05,Connecticut,2422,2010,4432,2653,2587,5240
2007,05,Delaware,568,625,1192,600,909,1509
2007,05,District of Columbia,7,44,51,5,44,49
2007,05,Florida,22454,13211,35665,23393,17514,40906
2007,05,Georgia,6989,5512,12502,8182,9814,17996
2007,05,Guam,14,28,42,15,32,46
2007,05,Hawaii,0,0,0,,,
