Incident_ID;Age;Gender;Race;School_Affiliation;Shooter_Outcome;Shooter_Died;Injury
20231201OHBUA;15;Male;;Nonstudent;Apprehended/Killed by SRO;No;None
20231201OHNOC;Adult;Male;;No Relation;Fled/Escaped;No;None
20231201DCKIW;;Male;;;Fled/Escaped;No;None
20231130TXBUH;30;Male;;No Relation;Fled/Apprehended;Yes;Fatal
20231129OHMAT;18;Male;Black;No Relation;Fled/Apprehended;No;None
20231128TXNOH;Teen;Male;;Student;Fled/Apprehended;No;None
20231126OHEDD;Teen;Male;;;Fled/Escaped;No;None
20231123OHSOC;;;;Nonstudent Using Athletic Facilities/Attending Game;Fled/Escaped;No;None
20231119ILURU;Adult;Male;;No Relation;Fled/Escaped;No;None
20231117LAACL;Teen;Male;;Nonstudent Using Athletic Facilities/Attending Game;Fled/Apprehended;No;None
20231116CALAW;Adult;Male;;;Fled/Apprehended;No;None
20231116OHSTC;Adult;Male;;No Relation;Fled/Apprehended;No;None
20231114MILID;Teen;Male;;Student;Apprehended/Killed by SRO;No;None
2023114ILMAP;;;;;Fled/Escaped;No;None
2023113KYJEL;Teen;Male;;Student;Fled/Escaped;No;None
20231113NJCEN;;;;;Fled/Escaped;No;None
20231110CAVAV;;;;;Fled/Escaped;No;None
20231109NVLAL;44;Male;Black;No Relation;Fled/Apprehended;No;None
20231109ALESA;Teen;Male;;Nonstudent Using Athletic Facilities/Attending Game;Fled/Escaped;No;None
20231108CTLIN;Adult;Male;;No Relation;Subdued by Students/Staff/Other;No;None
20231107CABUB;15;Male;;Student;Fled/Apprehended;No;None
20231103INKII;15;Male;;Nonstudent;Fled/Apprehended;No;None
20231102NCFRM;20;Male;Black;No Relation;Fled/Apprehended;No;None
20231102NCFRM;20;Male;Black;No Relation;Fled/Apprehended;No;None
20231102OHWAL;20;Male;;No Relation;Fled/Apprehended;No;None
20231102ALSMS;16;Male;;Student;Fled/Apprehended;No;None
20231031NVCOL;Adult;Male;Hispanic;Parent;Fled/Apprehended;No;None
20231030NCRAR;;;;;Fled/Escaped;No;None
20231027TXDUS;Adult;;;Police Officer/SRO;Law Enforcement;No;None
20231027LADOD;21;Male;;No Relation;Fled/Apprehended;No;None
20231027MDCAB;15;Male;;Student;Apprehended/Killed by LE;No;Wounded
20231027MDCAB;15;Male;;Student;Apprehended/Killed by LE;No;Wounded
20231027MIDED;;;;;Fled/Escaped;No;None
20231026CALEL;Adult;;;Police Officer/SRO;Law Enforcement;No;None
20231026VTMOM;Adult;;;No Relation;Fled/Apprehended;No;None
20231026FLNFJ;Adult;Male;;No Relation;Apprehended/Killed by LE;No;None
20231024MDEDW;29;Male;;No Relation;Fled/Apprehended;No;None
20231023WIKEG;32;Male;White;No Relation;Apprehended/Killed by LE;Yes;Fatal
20231020FLLIT;16;Male;;Student;Apprehended/Killed by SRO;No;None
20231020FLFAT;53;Male;;Intimate Relationship;Suicide;Yes;Suicide
20231019WAEVV;16;Male;;Student;Fled/Apprehended;No;None
20231019ILMAC;;;;;Fled/Escaped;No;None
20231019TXNAA;;;;;Fled/Escaped;No;None
20231019CAGRF;12;Male;Black;Student;Subdued by Students/Staff/Other;No;None
20231018WILUW;Adult;Male;;No Relation;Apprehended/Killed by LE;Yes;Fatal
20231015OHEAT;23;Male;Black;Nonstudent Using Athletic Facilities/Attending Game;Fled/Apprehended;No;None
20231015MOKIK;39;Male;White;Parent;Subdued by Students/Staff/Other;No;None
20231015TXFRD;22;Male;Black;No Relation;Fled/Apprehended;No;None
20231015TXFRD;38;Male;Black;No Relation;Fled/Apprehended;No;None
20231013FLBOS;;;;;Fled/Escaped;No;None
20231013OHCLC;15;Male;;Student;Fled/Apprehended;No;None
20231011CAMAL;;;;No Relation;Fled/Escaped;No;None
20231011FLMIM;Adult;Male;;No Relation;Apprehended/Killed by LE;No;None
20231011TXSEF;Adult;;;Intimate Relationship;Fled/Escaped;No;None
20231010MOBAS;;;;;Fled/Escaped;No;None
20231010NCTEF;Adult;Male;;No Relation;Surrendered;No;None
20231010SCDAD;;;;;Fled/Escaped;No;None
20231008ILTHD;Adult;Male;;Nonstudent Using Athletic Facilities/Attending Game;Fled/Apprehended;No;None
20231006LATHT;13;Male;;Student;Fled/Apprehended;No;None
20231006MIOAO;;;;;Fled/Escaped;No;None
20231004PAMIE;4;;;Relative;Other;No;None
20231004COROD;15;Male;;No Relation;Fled/Apprehended;No;None
20231004WAGAS;;;;;Fled/Escaped;No;None
20231004GASAS;;;;;Fled/Escaped;No;None
20231002CAALL;Adult;Male;;No Relation;Fled/Escaped;No;None
20231002AZALP;;;;;Fled/Escaped;No;None
20230930GAGRG;17;Male;Black;;Fled/Escaped;No;None
20230929AKWAW;Adult;Male;;No Relation;Surrendered;No;None
20230929NCDUG;18;Male;;Student;Fled/Apprehended;No;None
20230929NCDUG;17;Male;;Student;Fled/Apprehended;No;None
20230928MDEDE;;;;;Apprehended/Killed by LE;No;None
20230928GAROC;Teen;Male;;Student;Surrendered;No;Wounded
20230925DCSTW;;;;No Relation;Fled/Escaped;No;None
20230925MDDUB;Teen;Male;;Student;Surrendered;No;Wounded
20230925MDGIB;;;;;Fled/Escaped;No;None
20230923OHMAC;Teen;Male;Black;No Relation;Fled/Escaped;No;None
20230922IAOTO;;;;;Fled/Escaped;No;None
20230922KYMAL;;;;;Fled/Escaped;No;None
20230922TNWEM;14;Male;;Student;Fled/Apprehended;No;None
20230922TNSWS;Teen;Male;;;Fled/Escaped;No;None
20230922WIMIM;;;;;Fled/Escaped;No;None
20230920ILVOC;;;;;Fled/Escaped;No;None
20230919TXKEB;11;Male;;Student;Apprehended/Killed by LE;No;None
20230919FLWOP;24;Male;Black;Nonstudent Using Athletic Facilities/Attending Game;Fled/Apprehended;No;None
20230919DCROW;;;;No Relation;Fled/Escaped;No;None
20230918MDDUB;Teen;;;Student;Apprehended/Killed by LE;No;None
20230916OHEAC;;;;No Relation;Fled/Escaped;No;None
20230915ILHIC;;;;;Fled/Escaped;No;None
20230915KSWYK;;;;;Fled/Escaped;No;None
20230915KSWYK;;;;;Fled/Escaped;No;None
20230915MDJAB;;;;;Fled/Escaped;No;None
20230914ILBOU;15;Male;;Student;Fled/Apprehended;No;None
20230914ILBOU;16;Male;;Student;Fled/Apprehended;No;None
20230914ILBOU;16;Male;;Student;Fled/Apprehended;No;None
20230914ILBOU;18;Male;;Student;Fled/Apprehended;No;None
20230913GALAA;Adult;Male;;Parent;Fled/Escaped;No;None
20230913DCLIW;;;;;Fled/Escaped;No;None
20230912WAEIY;15;Male;;Student;Fled/Apprehended;No;None
20230912LASTG;14;Male;;Student;Fled/Apprehended;No;None
20230911MDDUL;16;Male;;Student;Fled/Apprehended;No;None
20230911ARPRN;;;;;Fled/Escaped;No;None
20230909NYPRU;16;Male;;Student;Fled/Apprehended;No;None
20230908NCLUL;21;Male;;;Fled/Apprehended;No;None
20230908NCLUL;17;Male;;;Fled/Apprehended;No;None
20230906FLANT;32;Female;Black;Parent;Fled/Apprehended;No;None
20230905CASKO;Teen;Male;;Student;Fled/Apprehended;No;None
20230901TNMEM;;Male;;;Fled/Escaped;No;None
20230901MDDUB;15;Male;;;Fled/Apprehended;No;None
20230901ILMOC;;;;;Fled/Escaped;No;None
20230901LAPOP;;;;;Fled/Escaped;No;None
20230831KSWEW;;;;;Fled/Escaped;No;None
20230831MSBRB;11;Male;;Student;Fled/Apprehended;No;None
20230831WANOD;Teen;Male;;No Relation;Fled/Escaped;No;None
20230831WANOD;Teen;Male;;No Relation;Fled/Escaped;No;None
20230831WANOD;Teen;Male;;No Relation;Fled/Escaped;No;None
20230829NVCLL;;;;;Fled/Escaped;No;None
20230826CAFAF;Adult;;;;Fled/Escaped;No;None
20230825MSOBG;Adult;Male;;;Fled/Escaped;No;None
20230825MSOBG;Adult;Male;;;Fled/Escaped;No;None
20230825MSOBG;Adult;Male;;;Fled/Escaped;No;None
20230825MSOBG;Adult;Male;;;Fled/Escaped;No;None
20230825CADRL;;;;;Fled/Escaped;No;None
20230825OKBOT;Teen;Male;Hispanic;Student;Fled/Escaped;No;None
20230825SCGEG;19;Male;Black;Nonstudent Using Athletic Facilities/Attending Game;Fled/Apprehended;No;None
20230825OKCHC;15;Male;;Student;Fled/Apprehended;No;None
20230824NMRAT;;;;;Fled/Escaped;No;None
20230824VAWAP;;;;;Fled/Escaped;No;None
20230824VAKEV;;;;No Relation;Fled/Escaped;No;None
20230824AZPHP;Child;;;Student;Apprehended/Killed by LE;No;None
20230823MDTOT;;;;;Fled/Escaped;No;None
20230822OKSTS;Teen;Male;;Student;Fled/Apprehended;No;None
20230822TNSTC;Adult;Male;;;Apprehended/Killed by SRO;No;None
20230822TXJES;Child;Male;;Student;Apprehended/Killed by Other;No;None
20230818GANOK;Teen;Male;;Student;Fled/Escaped;No;None
20230818CAETR;Teen;Male;;Student;Fled/Escaped;No;None
20230818GAJOJ;Teen;Male;;Student;Fled/Escaped;No;None
20230818MSPAP;Teen;Male;;Student;Fled/Escaped;No;None
20230818FLFIJ;15;Male;;Student;Fled/Apprehended;No;Wounded
20230816GAJOA;Teen;Male;;Student;Fled/Apprehended;No;None
20230813NEWON;14;Male;;No Relation;Fled/Apprehended;No;None
20230812MSSTS;;;;;Fled/Escaped;No;None
20230810TNCOM;22;Male;;Nonstudent Using Athletic Facilities/Attending Game;Fled/Apprehended;No;None
20230808ILBOC;;;;;Fled/Escaped;No;None
20230807WAHIS;;;;No Relation;Fled/Escaped;No;None
20230731TNMAM;33;Male;White;Former Student;Fled/Apprehended;No;Wounded
20230726DCMAW;Adult;Male;Black;Nonstudent Using Athletic Facilities/Attending Game;Fled/Escaped;No;None
20230725TNFRM;Adult;Male;;No Relation;Fled/Escaped;No;None
20230725NCJUC;Adult;;;No Relation;Fled/Escaped;No;None
20230724PAJOH;15;Male;;;Fled/Apprehended;No;None
20230718NYFRB;17;Male;;Student;Fled/Escaped;No;None
20230716GALOH;20;Male;;No Relation;Apprehended/Killed by LE;No;None
20230714NYKIT;Teen;Male;;No Relation;Fled/Escaped;No;None
20230714TXJAS;Teen;Male;;No Relation;Apprehended/Killed by LE;No;None
20230708ALWOB;19;Male;;No Relation;Suicide;Yes;Suicide
20230707MDPIP;;;;;Fled/Escaped;No;None
20230706OHHUC;;;;;Fled/Escaped;No;None
20230702MNUNF;19;Male;;;Fled/Apprehended;No;None
20230623NMKEA;17;Male;;No Relation;Fled/Apprehended;No;None
20230622ARSOS;29;Male;White;No Relation;Fled/Apprehended;No;None
20230613PAJUP;Adult;Male;;No Relation;Fled/Escaped;No;None
20230612NJRIM;18;Male;;No Relation;Fled/Apprehended;No;None
20230612GAKEC;;;;;Fled/Escaped;No;None
20230609DCTUW;;;;No Relation;Fled/Escaped;No;None
20230607VADRA;21;Male;;No Relation;Fled/Apprehended;No;None
20230607WIMIM;;;;;Fled/Escaped;No;None
20230606VAHUR;19;Male;;;Fled/Apprehended;No;None
20230605MIMIW;22;Male;Black;Relative;Fled/Apprehended;No;None
20230605MARID;;;;;Fled/Escaped;No;None
20230602MAWOW;;;;;Fled/Escaped;No;None
20230602MDSAE;Teen;Male;;No Relation;Surrendered;No;Wounded
20230602MDSAE;Teen;Male;;No Relation;Surrendered;No;Wounded
20230601TXCAF;Adult;Male;;;Fled/Escaped;No;None
20230531CABAB;19;Male;Black;;Fled/Apprehended;No;None
20230528GABEA;Teen;Male;;Student;Fled/Escaped;No;None
20230526MIHAH;;;;;Fled/Escaped;No;None
20230526NYMOM;;;;;Fled/Escaped;No;None
20230525PASAB;Teen;;;No Relation;Fled/Escaped;No;None
20230525OHBEC;Adult;Male;;No Relation;Fled/Escaped;No;None
20230525CABEM;Adult;Male;;No Relation;Fled/Escaped;No;None
20230525MNWAM;16;Male;;Student;Fled/Apprehended;No;None
20230524NCJHG;19;Male;;No Relation;Fled/Apprehended;No;None
20230524PAOLP;15;Male;;Student;Fled/Apprehended;No;None
20230524NCNOD;16;Male;;;Apprehended/Killed by LE;No;None
20230523MIYPY;;;;No Relation;Fled/Escaped;No;None
20230522MASTD;Adult;;;Police Officer/SRO;Law Enforcement;No;None
20230522DCKID;Teen;Male;;;Fled/Escaped;No;None
20230521NJCEN;Teen;Male;;;Fled/Escaped;No;None
20230519AZBOP;15;Male;;Student;Apprehended/Killed by LE;No;None
20230519DEFAD;;;;;Fled/Escaped;No;None
20230519NYPSS;Teen;Male;;Student;Fled/Escaped;No;None
20230518WAGAS;Teen;Male;;;Fled/Escaped;No;None
20230518CACHW;Adult;Male;;No Relation;Fled/Apprehended;No;None
20230517DCTHW;;Male;;;Fled/Escaped;No;None
20230516NJSCP;59;Male;;No Relation;Fled/Apprehended;No;None
20230516OHEAC;;Male;;;Fled/Escaped;No;None
20230516MNDAM;Teen;Male;Black;;Fled/Escaped;No;None
20230516MNDAM;Teen;Male;Black;;Fled/Escaped;No;None
20230516MNDAM;Teen;Male;Black;;Fled/Escaped;No;None
20230515ININI;16;Male;Black;Student;Apprehended/Killed by LE;No;None
20230515ININI;16;Male;Black;Student;Apprehended/Killed by LE;No;None
20230515CAPIP;Adult;Male;;No Relation;Apprehended/Killed by LE;No;None
20230515ORCRP;13;Male;;Former Student;Apprehended/Killed by LE;No;None
20230512OHEDD;19;Male;Black;No Relation;Fled/Apprehended;No;None
20230512OHEDD;Teen;Male;;No Relation;Fled/Escaped;No;None
20230512DCKEW;Adult;Male;;No Relation;Fled/Escaped;No;None
20230512TNLEL;Adult;Male;;Parent;Surrendered;No;Wounded
20230511MDNOF;18;Male;;No Relation;Fled/Apprehended;No;None
20230511ILNER;10;Female;;Student;Subdued by Students/Staff/Other;No;None
20230510NYPSQ;Teen;Male;;Nonstudent Using Athletic Facilities/Attending Game;Fled/Escaped;No;None
20230509CACAO;;;;;Fled/Escaped;No;None
20230508SCSUS;Teen;Male;;Student;Fled/Apprehended;No;None
20230508PAEWP;12;Male;;Student;Fled/Apprehended;No;None
20230508NVVOL;18;Male;Hispanic;No Relation;Fled/Apprehended;No;None
20230506SCCOL;14;Male;;Nonstudent Using Athletic Facilities/Attending Game;Surrendered;No;None
20230505INLIE;Teen;Male;;;Fled/Escaped;No;None
20230503NCJOE;;;;;Fled/Escaped;No;None
20230502AZRAM;Adult;Male;;No Relation;Fled/Escaped;No;None
20230501MDPRS;15;Male;Black;Student;Fled/Apprehended;No;None
20230501MIINF;30;Female;;Parent;Fled/Apprehended;No;None
20230430CAKNP;Adult;Female;;Parent;Apprehended/Killed by LE;No;None
20230430KYPAP;Teen;Male;;Student;Fled/Escaped;No;None
20230430KYPAP;Teen;Male;;Student;Fled/Escaped;No;None
20230428TNWEK;14;Male;;Student;Surrendered;No;None
20230427GACHK;;;;;Fled/Escaped;No;None
20230427VAGER;18;Male;;Student;Fled/Apprehended;No;None
20230426MNLIH;Teen;Male;;Former Student;Fled/Apprehended;No;None
20230426MNLIH;Teen;Male;;Former Student;Fled/Apprehended;No;None
20230426MNLIH;Teen;Male;;Former Student;Fled/Apprehended;No;None
20230426CTJON;;;;;Fled/Escaped;No;None
20230425NVCOH;;;;;Fled/Escaped;No;None
20230425CAKIL;;;;;Fled/Escaped;No;None
20230423VAJOD;;Male;;Nonstudent Using Athletic Facilities/Attending Game;Fled/Escaped;No;None
20230420ARLIL;;;;;Fled/Escaped;No;None
20230419FLFOA;Adult;Male;;Parent;Apprehended/Killed by LE;No;None
20230418TXRIH;Adult;Male;;No Relation;Fled/Escaped;No;None
20230417LASON;;;;;Fled/Escaped;No;None
20230414AZDEP;38;Male;;No Relation;Fled/Apprehended;No;None
20230414WIWAW;17;Male;;Student;Surrendered;No;None
20230414PAWOP;;;;No Relation;Fled/Escaped;No;None
20230413ILCHC;Adult;Male;;No Relation;Fled/Escaped;No;None
20230413ILCHC;Adult;Male;;No Relation;Surrendered;No;None
20230412TXLOH;12;Male;Hispanic;;Fled/Escaped;No;None
20230412CACES;;;;;Fled/Escaped;No;None
20230407WACHS;;;;;Fled/Escaped;No;None
20230406NCSOW;14;Male;;Student;Fled/Apprehended;No;None
20230405OHROC;Teen;Male;;Student;Fled/Apprehended;No;None
20230405SCHOG;Teen;Male;;No Relation;Fled/Escaped;No;None
20230404TXCHH;18;Male;;Student;Surrendered;No;None
20230404OHWOC;Teen;Male;;Student;Fled/Apprehended;No;None
20230404OHWOC;Teen;Male;;Student;Fled/Apprehended;No;None
20230403PAFAP;;;;;Fled/Escaped;No;None
20230331MSGNJ;;;;;Fled/Escaped;No;None
20230331CAWOC;;;;;Fled/Escaped;No;None
20230331DCCAD;;;;;Fled/Escaped;No;None
20230331CAJAR;33;Male;;No Relation;Suicide;Yes;Suicide
20230330NCFOW;18;Male;;Student;Apprehended/Killed by LE;No;Wounded
20230329MDBRO;;;;;Fled/Escaped;No;None
20230329GANED;29;Male;Black;Nonstudent Using Athletic Facilities/Attending Game;Apprehended/Killed by LE;Yes;Fatal
20230331NCLIR;Adult;Male;Hispanic;No Relation;Apprehended/Killed by LE;Yes;Fatal
20230327TNCON;28;Transgender;White;Former Student;Apprehended/Killed by LE;Yes;Fatal
20230324INNOM;43;Male;White;Teacher;Suicide;Yes;Suicide
20230324NJTHM;;;;;Fled/Escaped;No;None
20230323TNHAM;13;Male;Black;Student;Fled/Escaped;No;None
20230322ALANA;Teen;Male;;Student;Fled/Apprehended;No;None
20230322PAHAP;;;;No Relation;Fled/Escaped;No;None
20230322COEAD;17;Male;;Student;Fled/Escaped;Yes;Suicide
20230321TXTHD;Teen;Male;;Student;Fled/Apprehended;No;None
20230320TXLAA;15;Male;;Student;Fled/Apprehended;No;None
20230319ORFOS;Adult;Male;;No Relation;Apprehended/Killed by LE;No;None
20230316NCLOD;14;Male;;Student;Apprehended/Killed by SRO;No;None
20230316DCCOW;Teen;Male;;;Fled/Escaped;No;None
20230316NYPSB;Teen;Male;;No Relation;Fled/Escaped;No;None
20230316NYPSB;Teen;Male;;No Relation;Fled/Escaped;No;None
20230315COINB;Teen;Male;;Student;Fled/Apprehended;No;None
20230315COINB;Teen;Male;;Student;Fled/Apprehended;No;None
20230315CALIG;;;;;Fled/Escaped;No;None
20230315MICEW;;;;;Fled/Escaped;No;None
20230313NYPSN;Teen;Male;;Nonstudent;Fled/Escaped;No;None
20230314NYHAN;Teen;Male;;Nonstudent;Fled/Escaped;No;None
20230314NYMAM;19;;;Former Student;Fled/Apprehended;No;None
20230309WIBAM;18;Male;Black;Student;Fled/Apprehended;No;None
20230309OHMAM;;;;Nonstudent;Fled/Escaped;No;None
20230308WVHIH;23;Male;White;No Relation;Apprehended/Killed by LE;No;None
20230308PAHEP;;;;No Relation;Fled/Escaped;No;None
20230307INTHI;;;;;Fled/Escaped;No;None
20230306NYPAN;;;;;Fled/Escaped;No;None
20230306TXPAA;16;Male;;Student;Fled/Apprehended;No;None
20230306TXPAA;18;Male;;Student;Fled/Apprehended;No;None
20230306MDLEB;Adult;Male;;Parent;Fled/Escaped;No;None
20230306MISTR;13;Male;;Student;Fled/Apprehended;No;None
20230306MDPAB;23;Male;;No Relation;Fled/Apprehended;No;None
20230303MTGAL;Teen;;;;Fled/Apprehended;No;None
20230303MTGAL;Teen;;;;Fled/Apprehended;No;None
20230301ILMAM;18;Male;White;No Relation;Fled/Apprehended;No;None
20230301ILMAM;23;Male;White;No Relation;Fled/Apprehended;No;None
20230301ILMAM;18;Male;White;No Relation;Fled/Apprehended;No;None
20230301GASAS;16;Male;;Nonstudent;Fled/Apprehended;No;None
20230301ILSAC;18;Male;;No Relation;Apprehended/Killed by LE;No;Wounded
20230301CONOP;Adult;Male;;No Relation;Apprehended/Killed by LE;Yes;Fatal
20230227CAGAC;Adult;;;;Fled/Escaped;No;None
20230223OHWOC;;;;;Fled/Escaped;No;None
20230222COESE;Adult;;;Police Officer/SRO;Law Enforcement;No;None
20230221LARUR;;;;;Fled/Escaped;No;None
